TDCR_342_CURRENT_VIEW
Fecha,Descripción,Débito,Crédito,Saldo,Moneda
14-09-2018,HSAN ANGEL INN PATRIOT   CHP 150324FB0,"5,859",,0,MXN
14-09-2018,MED CHOP CADE DEL VALL   LMC 741212JN6MX,599,,0,MXN
15-09-2018,GANDHI CCMA              LGA 0111296B6MX,338,,0,MXN
15-09-2018,GANDHI CCMA              LGA 0111296B6MX,514,,0,MXN
15-09-2018,CHARCO DE LAS RANAS       LRO140617E25MX,451,,0,MXN
16-09-2018,MINISO OASIS COYOACAN    MME 160812J15,49,,0,MXN
16-09-2018,REST BURGUER F1          OBM 150309F57MX,277,,0,MXN
17-09-2018,GARABATOS PERISUR        CPA 000824KH9MX,193.6,,0,MXN
18-09-2018,MOG BISTRO                NIP170630TD5MX,926.2,,0,MXN
19-09-2018,MI GUSTO ES PEDREGAL I   GRG 100219P81MX,735.9,,0,MXN
19-09-2018,PAYPAL *NEWYORKTIME      OPM 150323DI1MX,295.84,,0,MXN
20-09-2018,PERISUR CREPES & W       CME 0003246F1MX,288.2,,0,MXN
20-09-2018,REST EL DIEZ REYES        RDI050203197MX,471.9,,0,MXN
20-09-2018,PAYPAL *UBER BV          OPM 150323DI1MX,10,,0,MXN
20-09-2018,PAYPAL *UBER BV          35314369001  NL,153.53,,0,MXN
21-09-2018,PAYPAL CONDE NAST        OPM 150323DI1,"1,765.69",,0,MXN
21-09-2018,GASOL ES 04342           SED 930927NFA,250,,0,MXN
21-09-2018,REST HOSTERIA LA BOTA    CAGX721102FS6MX,100,,0,MXN
21-09-2018,MOG BISTRO                NIP170630TD5MX,847,,0,MXN
22-09-2018,PAYPAL CONDE NAST        OPM 150323DI1,,"1,765.69",0,MXN
22-09-2018,PAYPAL *UBER BV          35314369001  NL,40.38,,0,MXN
23-09-2018,SUPERAMA PERIFERICO      NWM 9709244W4,879.35,,0,MXN
24-09-2018,PIZZA RUSTICA INSURGEN   EMI 130909S57MX,610.5,,0,MXN
27-09-2018,TELCEL CUICUILCO         RDI 841003QJ4,697,,0,MXN
27-09-2018,PAGO EN TELMEX CAT 284   TME 840315KT6,389,,0,MXN
27-09-2018,LA POSTA                 GCA 0306259H0MX,577,,0,MXN
28-09-2018,PAYPAL *UBER BV          35314369001  NL,176.27,,0,MXN
28-09-2018,AMERICAN0010269132553    PHOENIX      MX,489.43,,0,MXN
28-09-2018,LAX AIRP FORDS FILLIN    LOS ANGELES  CA ,416.58,,0,MXN
01-10-2018,COMISION POR REPOSICION DE TARJETA       ,130,,0,MXN
01-10-2018,FOTOMECANICA UNIVERSID    FJB03(003:006),"5,833.17",,0,MXN
01-10-2018,IVA OTROS CARGOS                         ,20.8,,0,MXN
01-10-2018,SPORT CITY GRAN SUR CR    SCI011114UY7MX,"1,765.32",,0,MXN
03-10-2018,SU ABONO...GRACIAS                       ,,"32,455.57",0,MXN
08-10-2018,SUPERAMA PERIFERICO      NWM 9709244W4,454.75,,0,MXN
09-10-2018,PAYPAL II                OPM 150323DI1MX,,12,0,MXN
09-10-2018,PAYPAL II                OPM 150323DI1MX,12,,0,MXN
09-10-2018,PAYPAL *UBER BV          35314369001  NL,183.38,,0,MXN
10-10-2018,LOS ARCOS 1              MDF 980226RX5,913,,0,MXN
10-10-2018,PAYPAL *UBER BV          OPM 150323DI1MX,181.78,,0,MXN
10-10-2018,PAYPAL *UBER BV          35314369001  NL,175.18,,0,MXN
